XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference
188,mixture (wheat bran ; rice straw),Co-culture (Penicillium oxalicum 16 ; Trichoderma reesei RUT-C30),amylase,713.2,U/gds,168,"Rice straw: milled (20mm), dried (48h ; 40°C). Wheat bran: NA.","Salt solution added to reach predefined MC (g/L): 1,5 (NH4)2SO4 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4 ; 1,0 urea ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2. Inducer: 0,168g/gs microcrystalline cellulose. Nitrogen source: 0,06g/gs peanut cake powder.",RSM (Plackett–Burman  design + Central Composite design),"pH=5 ; MC=70% ; Inoculum (T reesei at 0h, then P oxalicum at 48h) ; T°=28±2°C.","Substrate proportions (w/w): 4WB:1RS. This experiment was optimised for FPase production, as it was considered to be representative of the production of the complete hydrolase system.",2019,64
188,mixture (wheat bran ; rice straw),Co-culture (Penicillium oxalicum 16 ; Trichoderma reesei RUT-C30),cellobiohydrolase,15.7,U/gds,168,"Rice straw: milled (20mm), dried (48h ; 40°C). Wheat bran: NA.","Salt solution added to reach predefined MC (g/L): 1,5 (NH4)2SO4 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4 ; 1,0 urea ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2. Inducer: 0,168g/gs microcrystalline cellulose. Nitrogen source: 0,06g/gs peanut cake powder.",RSM (Plackett–Burman  design + Central Composite design),"pH=5 ; MC=70% ; Inoculum (T reesei at 0h, then P oxalicum at 48h) ; T°=28±2°C.","Substrate proportions (w/w): 4WB:1RS. This experiment was optimised for FPase production, as it was considered to be representative of the production of the complete hydrolase system.",2019,64
188,mixture (wheat bran ; rice straw),Co-culture (Penicillium oxalicum 16 ; Trichoderma reesei RUT-C30),β-glucosidase,188.6,U/gds,168,"Rice straw: milled (20mm), dried (48h ; 40°C). Wheat bran: NA.","Salt solution added to reach predefined MC (g/L): 1,5 (NH4)2SO4 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4 ; 1,0 urea ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2. Inducer: 0,168g/gs microcrystalline cellulose. Nitrogen source: 0,06g/gs peanut cake powder.",RSM (Plackett–Burman  design + Central Composite design),"pH=5 ; MC=70% ; Inoculum (T reesei at 0h, then P oxalicum at 48h) ; T°=28±2°C.","Substrate proportions (w/w): 4WB:1RS. This experiment was optimised for FPase production, as it was considered to be representative of the production of the complete hydrolase system.",2019,64
189,corn stover,Aspergillus fumigatus Z5,FPase,144.6,U/gds,96,"Dried, milled (375µm), autoclaved (30mn ; 121°C).","for 20gds, 60mL of modified Mandels' salt solution (mg/L): 300 urea ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O ; nitrogen source: 1% (w/v) peptone.",OFAT,pH=4 ; MC=80% ; Inoculum (1E7 spores/mL ; 7% v/w dry substrate) ; T°=50°C.,,2011,65
189,corn stover,Aspergillus fumigatus Z5,CMCase,526.3,U/gds,96,"Dried, milled (375µm), autoclaved (30mn ; 121°C).","for 20gds, 60mL of modified Mandels' salt solution (mg/L): 300 urea ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O ; nitrogen source: 1% (w/v) peptone.",OFAT,pH=4 ; MC=80% ; Inoculum (1E7 spores/mL ; 7% v/w dry substrate) ; T°=50°C.,,2011,65
190,wheat bran,Aspergillus niger LBA 02,L-asparaginase,2264.91,U/gds,96,Sterilised (45mn ; 121°C).,None,None,"MC=60% ; bed thickness: 9,44±0,88mm ; T°=30°C.","In unoptimised conditions, the highest activity was obtained using passion fruit peel flour (PFPF) as substrate. After OFAT optimisation using PFPF, an activity of 3746,78 U/gds was obtained.",2018,66
191,rice meal,Aspergillus niger LBA 03,L-asparaginase,635,U/gds,96,Sterilised (45mn ; 121°C).,None,None,"MC=60% ; bed thickness: 6,00±0,49mm ; T°=30°C.","Yield value is approximate. In unoptimised conditions, the highest activity was obtained using passion fruit peel flour (PFPF) as substrate. After OFAT optimisation using PFPF, an activity of 3746,78 U/gds was obtained.",2018,66
192,wheat bran,Aspergillus foetidus MTCC 4898,xylanase,4516,U/g,72,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",Anaerobically treated distillery spent wash (DSW) diluted (1/10) in distilled water.,None,Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"DSW is a major effluent of distilleries with high environmental impact. It contains nutrients (K, S, N, Cu, Fe, Ca, Mn, Zn) valuable for microorganisms' growth. Wheat bran presended the best production in unoptimised conditions.",2010,67
193,corn cob,Aspergillus foetidus MTCC 4898,xylanase,377.51,U/g,96,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",Anaerobically treated distillery spent wash (DSW) diluted (1/10) in distilled water.,None,Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"DSW is a major effluent of distilleries with high environmental impact. It contains nutrients (K, S, N, Cu, Fe, Ca, Mn, Zn) valuable for microorganisms' growth. Wheat bran presended the best production in unoptimised conditions.",2010,67
194,wheat straw,Aspergillus foetidus MTCC 4898,xylanase,358.87,U/g,48,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",Anaerobically treated distillery spent wash (DSW) diluted (1/10) in distilled water.,None,Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"DSW is a major effluent of distilleries with high environmental impact. It contains nutrients (K, S, N, Cu, Fe, Ca, Mn, Zn) valuable for microorganisms' growth. Wheat bran presended the best production in unoptimised conditions.",2010,67
195,rice bran,Aspergillus foetidus MTCC 4898,xylanase,560.58,U/g,72,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",Anaerobically treated distillery spent wash (DSW) diluted (1/10) in distilled water.,None,Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"DSW is a major effluent of distilleries with high environmental impact. It contains nutrients (K, S, N, Cu, Fe, Ca, Mn, Zn) valuable for microorganisms' growth. Wheat bran presended the best production in unoptimised conditions.",2010,67
196,rice straw,Aspergillus foetidus MTCC 4898,xylanase,1.3,U/g,48,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",Anaerobically treated distillery spent wash (DSW) diluted (1/10) in distilled water.,None,Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"DSW is a major effluent of distilleries with high environmental impact. It contains nutrients (K, S, N, Cu, Fe, Ca, Mn, Zn) valuable for microorganisms' growth. Wheat bran presended the best production in unoptimised conditions.",2010,67
197,wheat bran,Aspergillus foetidus MTCC 4898,xylanase,3067,U/g,72,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",Mandels and Stranberg's media,None,MR 1:2 ; Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"This experiment, compared to xp 192, justified the use of distillery spent wash as nutritive medium. Indeed, all other things being equal, the use of DSW led to higher production.",2010,67
198,wheat bran,Aspergillus foetidus MTCC 4898,xylanase,2565,U/g,72,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).",None,None,MR 1:2 ; Inoculum (1mL ; 1E8 spores/mL) ; T°=30°C.,"This experiment, compared to xp 192, justified the use of distillery spent wash as nutritive medium. Indeed, all other things being equal, the use of DSW led to higher production.",2010,67
199,wheat bran,Aspergillus foetidus MTCC 4898,xylanase,8450,U/g,80,"Washed, dried, powdered (5-7mm) ; sterilised (15mn ; 121°C).","Anaerobically treated distillery spent wash (DSW) diluted (10,5% v/v) in distilled water.",RSM (Box-Behnken design),"pH=5 ; MR 1:2,4 ; Inoculum (1mL ; 1E9 spores/mL) ; T°=30°C.","DSW is a major effluent of distilleries with high environmental impact. It contains nutrients (K, S, N, Cu, Fe, Ca, Mn, Zn) valuable for microorganisms' growth. Optimisation lead to a production enhanced by 1,8-fold compared to unoptimised experiment (xp 188).",2010,67
200,wheat straw,Aspergillus oryzae,pectin lyase (pectinase),42,U/mL,72,"Washed, dried (60°C), ground (40mm).","for 5gs, 100mL of medium (g/L): 2 glucose ; 0,05 MgSO4.7H2O ; 0,1 CaCl2.2H2O ; 0,12 NH4Cl ; 0,001 thiamine. Silica gel chips (ø1,2mm).",None,pH=6 ; Inoculum (5mL) ;T°=30±1°C ; shaker 120rpm.,"With lemon peel as substrate, pectin lyase activity reached 313 U/mL under unoptimised conditions (875 under optimised conditions). Wheat straw was the worst substrate tested, with an activity on average 5,7-fold lower than other substrates.",2014,68
201,wheat bran,Trichoderma reesei RUT C-30,FPase,22.89,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
201,wheat bran,Trichoderma reesei RUT C-30,CMCase,68.57,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
201,wheat bran,Trichoderma reesei RUT C-30,β-glucosidase,13.58,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
201,wheat bran,Trichoderma reesei RUT C-30,xylanase,2467.53,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
202,wheat bran,Aspergillus niger BC-1,FPase,13.57,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
202,wheat bran,Aspergillus niger BC-1,CMCase,48.22,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
202,wheat bran,Aspergillus niger BC-1,β-glucosidase,21.69,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
202,wheat bran,Aspergillus niger BC-1,xylanase,2604.06,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
203,wheat bran,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),FPase,24.17,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
203,wheat bran,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),CMCase,117.71,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
203,wheat bran,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),β-glucosidase,24.54,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
203,wheat bran,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2710.62,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
204,rice straw,Trichoderma reesei RUT C-30,FPase,16.05,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
204,rice straw,Trichoderma reesei RUT C-30,CMCase,58.16,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
204,rice straw,Trichoderma reesei RUT C-30,β-glucosidase,12.61,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
204,rice straw,Trichoderma reesei RUT C-30,xylanase,1298.7,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
205,rice straw,Aspergillus niger BC-1,FPase,9.02,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
205,rice straw,Aspergillus niger BC-1,CMCase,30.06,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
205,rice straw,Aspergillus niger BC-1,β-glucosidase,21.15,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
205,rice straw,Aspergillus niger BC-1,xylanase,936.06,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
206,rice straw,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),FPase,17.58,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
206,rice straw,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),CMCase,74,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
206,rice straw,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),β-glucosidase,22.47,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
206,rice straw,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2144.52,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C., ,2011,69
207,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),FPase,24.98,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 4RS:1WB.,2011,69
207,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),CMCase,99.53,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 4RS:1WB.,2011,69
207,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),β-glucosidase,24.98,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 4RS:1WB.,2011,69
207,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2757.2,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 4RS:1WB.,2011,69
208,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),FPase,30.99,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 3RS:2WB.,2011,69
208,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),CMCase,119.51,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 3RS:2WB.,2011,69
208,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),β-glucosidase,28.63,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 3RS:2WB.,2011,69
208,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2859.6,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 3RS:2WB.,2011,69
209,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),FPase,35.8,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm ; laminar air flow ; T°=30±1°C., The experiment was realised in plastic trays (L.40*l.25*H.8 cm). It is an upscaling of xp 208. Substrate ratio: 3RS:2WB. Authors state that further optimisation of the nutritive medium and key parameters (especially aeration for heat control) should be realised in up-scaled experiments.,2011,69
209,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),CMCase,131.34,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm ; laminar air flow ; T°=30±1°C., The experiment was realised in plastic trays (L.40*l.25*H.8 cm). It is an upscaling of xp 208. Substrate ratio: 3RS:2WB. Authors state that further optimisation of the nutritive medium and key parameters (especially aeration for heat control) should be realised in up-scaled experiments.,2011,69
209,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),β-glucosidase,33.71,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm ; laminar air flow ; T°=30±1°C., The experiment was realised in plastic trays (L.40*l.25*H.8 cm). It is an upscaling of xp 208. Substrate ratio: 3RS:2WB. Authors state that further optimisation of the nutritive medium and key parameters (especially aeration for heat control) should be realised in up-scaled experiments.,2011,69
